Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Loudness,Mode,Popularity,Speechiness,Tempo,Valence
If You Had My Love,2,1.0,10.0,1999-07-12,0.0645,0.68,266000,0.625,0,5.81e-05,-7.0,0,65,0.0353,94.02,0.814
Genie In A Bottle,3,3.0,4.0,1999-07-19,0.184,0.71,218267,0.798,0,0.00023,-6.972,0,34,0.0915,87.944,0.916
Genie In A Bottle,1,1.0,5.0,1999-07-26,0.184,0.71,218267,0.798,0,0.00023,-6.972,0,34,0.0915,87.944,0.916
Genie In A Bottle,1,1.0,6.0,1999-08-02,0.184,0.71,218267,0.798,0,0.00023,-6.972,0,34,0.0915,87.944,0.916
Genie In A Bottle,1,1.0,7.0,1999-08-09,0.184,0.71,218267,0.798,0,0.00023,-6.972,0,34,0.0915,87.944,0.916
Genie In A Bottle,1,1.0,8.0,1999-08-16,0.184,0.71,218267,0.798,0,0.00023,-6.972,0,34,0.0915,87.944,0.916
Genie In A Bottle,1,1.0,9.0,1999-08-23,0.184,0.71,218267,0.798,0,0.00023,-6.972,0,34,0.0915,87.944,0.916
Bailamos,1,1.0,9.0,1999-08-30,0.0606,0.64,214067,0.873,0,0.00159,-4.514,1,54,0.0409,99.898,0.544
Bailamos,1,1.0,0.0,1999-09-06,0.0606,0.64,214067,0.873,0,0.00159,-4.514,1,54,0.0409,99.898,0.544
Unpretty,1,1.0,3.0,1999-09-13,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,1,1.0,4.0,1999-09-20,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,1,1.0,5.0,1999-09-27,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,3,1.0,16.0,1999-10-04,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,4,1.0,17.0,1999-10-11,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,4,1.0,18.0,1999-10-18,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,5,1.0,19.0,1999-10-25,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,5,1.0,20.0,1999-11-01,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,5,1.0,21.0,1999-11-08,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
Unpretty,7,1.0,22.0,1999-11-15,0.0011,0.648,278000,0.636,0,6.39e-05,-6.054,1,38,0.0401,88.692,0.532
I Wanna Love You Forever,5,5.0,7.0,1999-11-22,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
I Wanna Love You Forever,5,5.0,8.0,1999-11-29,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
I Wanna Love You Forever,3,3.0,9.0,1999-12-06,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
I Wanna Love You Forever,3,3.0,10.0,1999-12-13,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
I Wanna Love You Forever,3,3.0,11.0,1999-12-20,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
I Wanna Love You Forever,3,3.0,12.0,1999-12-27,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
I Wanna Love You Forever,3,3.0,13.0,2000-01-03,0.156,0.59,263800,0.666,0,0.0,-4.047,0,59,0.0244,104.042,0.0743
What A Girl Wants,1,1.0,8.0,2000-01-10,0.0802,0.751,215120,0.819,0,0.0,-6.791,1,35,0.0877,142.102,0.808
What A Girl Wants,1,1.0,9.0,2000-01-17,0.0802,0.751,215120,0.819,0,0.0,-6.791,1,35,0.0877,142.102,0.808
My Love Is Your Love,10,4.0,22.0,2000-01-24,0.0557,0.77,261573,0.475,0,4.81e-06,-9.512,1,68,0.159,82.511,0.474
What A Girl Wants,2,1.0,11.0,2000-01-31,0.0802,0.751,215120,0.819,0,0.0,-6.791,1,35,0.0877,142.102,0.808
Get It On Tonite,4,4.0,17.0,2000-02-07,0.267,0.812,276225,0.495,0,2.9e-05,-9.869,0,57,0.0747,98.998,0.837
What A Girl Wants,3,1.0,13.0,2000-02-14,0.0802,0.751,215120,0.819,0,0.0,-6.791,1,35,0.0877,142.102,0.808
Amazed,3,3.0,30.0,2000-02-21,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,1,1.0,1.0,2000-02-28,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,1,1.0,2.0,2000-03-06,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,2,1.0,33.0,2000-03-13,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,3,1.0,34.0,2000-03-20,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,4,1.0,35.0,2000-03-27,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,4,1.0,36.0,2000-04-03,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,5,1.0,37.0,2000-04-10,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
Amazed,6,1.0,38.0,2000-04-17,0.26,0.561,240867,0.543,0,0.0,-8.498,1,21,0.0324,139.803,0.243
He Wasn't Man Enough,3,3.0,7.0,2000-04-24,0.00947,0.739,261933,0.947,0,2.99e-05,-1.915,0,49,0.0412,88.009,0.763
