    time step  dropout  neurons    loss accuracy
0           4      0.0       30  0.6813   0.6006
1           4      0.0       50  0.6811   0.6006
2           4      0.0       80  0.6810   0.6006
3           4      0.0      100  0.6810   0.6006
4           4      0.0      120  0.6809   0.6006
..        ...      ...      ...     ...      ...
95         12      0.6       30  0.6870   0.6000
96         12      0.6       50  0.6801   0.6033
97         12      0.6       80  0.6805   0.6033
98         12      0.6      100  0.6804   0.6033
99         12      0.6      120  0.6805   0.6033

[100 rows x 5 columns]
    time step  dropout  neurons    loss accuracy
75         10      0.6       30  0.6801   0.6192
